run_id,timestamp,top1_val_acc,top1_test_acc,peak_memory_mb,total_epochs,training_seconds,time_budget_sec,status,notes
20260313_093109_9dd0d7,2026-03-13T09:51:46,0.678388,0.66358,,,,1200,,stage1 lr=1e-2 from 1e-3
20260313_095409_c120d2,2026-03-13T10:14:46,0.651801,0.641975,,,,1200,,label_smoothing=0.05
20260313_101654_b90fa8,2026-03-13T10:37:29,0.678388,0.66358,,,,1200,,stage2 lr=1e-4 from 2e-4
20260313_104417_1a8706,2026-03-13T11:04:52,0.906518,0.898148,,,,1200,,cap stage1 at 6 epochs to reach stage2
20260313_110806_c6331b,2026-03-13T11:28:43,0.904803,0.896433,,,,1200,,cap stage1 at 5 epochs to extend stage2
20260313_145006_b8a87e,2026-03-13T15:10:35,0.927959,0.911866,370.8,13,1200.3,1200,keep,stage2 lr=1e-4 on 6-epoch cap
20260313_152517_ced8c8,2026-03-13T15:45:52,0.925386,0.911523,370.8,13,1200.6,1200,discard,cap stage1 at 7 epochs
20260313_155000_ca1c92,2026-03-13T16:10:31,0.929674,0.914609,473.2,13,1203.1,1200,keep,cap stage2 at 6 to reach stage3
